Version,Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc, ,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
tage,fp,sample_fp_trace,1.178618431,Pass,5.288804531,997741,192691,5.1779,111265,1145,0.5774,0.0059,1.03%,1.1476,61405,53.6288,61.544,997741,192691,5.1779,111265,1145,0.5774,0.0059,1.03%,1.1476,61405,53.6288,61.544
tage,int,sample_int_trace,1.334164619,Pass,4.400581598,997301,338411,2.947,128874,264,0.3808,0.0008,0.20%,0.2647,34305,129.9432,34.3978,997301,338411,2.947,128874,264,0.3808,0.0008,0.20%,0.2647,34305,129.9432,34.3978
FALSE,fp,sample_fp_trace,1.178618431,Pass,4.535414696,997741,912078,1.0939,111265,40104,0.122,0.044,36.04%,40.1948,840985,20.9701,842.8891,997741,912078,1.0939,111265,40104,0.122,0.044,36.04%,40.1948,840985,20.9701,842.8891
FALSE,int,sample_int_trace,1.334164619,Pass,3.965552807,997301,1485335,0.6714,128874,67965,0.0868,0.0458,52.74%,68.1489,1365543,20.0919,1369.2386,997301,1485335,0.6714,128874,67965,0.0868,0.0458,52.74%,68.1489,1365543,20.0919,1369.2386
ELM without anything else,fp,sample_fp_trace,1.1786184310913086,Pass,24.23298740386963,997741,1241646,0.8036,111265,71161,0.0896,0.0573,63.9563%,71.3221,1139424,16.0119,1142.0038,997741,1241646,0.8036,111265,71161,0.0896,0.0573,63.9563%,71.3221,1139424,16.0119,1142.0038
ELM without anything else,int,sample_int_trace,1.3341646194458008,Pass,28.936208963394165,997301,1283626,0.7769,128874,60909,0.1004,0.0475,47.2624%,61.0738,1103065,18.1100,1106.0502,997301,1283626,0.7769,128874,60909,0.1004,0.0475,47.2624%,61.0738,1103065,18.1100,1106.0502
ELM fixed,fp,sample_fp_trace,1.1786184310913086,Pass,17.51057481765747,997741,829397,1.2030,111265,42073,0.1342,0.0507,37.8133%,42.1683,724325,17.2159,725.9650,997741,829397,1.2030,111265,42073,0.1342,0.0507,37.8133%,42.1683,724325,17.2159,725.9650
ELM fixed,int,sample_int_trace,1.3341646194458008,Pass,19.2476863861084,997301,1241673,0.8032,128874,58605,0.1038,0.0472,45.4746%,58.7636,1068862,18.2384,1071.7547,997301,1241673,0.8032,128874,58605,0.1038,0.0472,45.4746%,58.7636,1068862,18.2384,1071.7547
ELM fixed (only fit is misspredicted),fp,sample_fp_trace,1.1786184310913086,Pass,9.9059579372406,997741,774336,1.2885,111265,38229,0.1437,0.0494,34.3585%,38.3156,669006,17.5000,670.5207,997741,774336,1.2885,111265,38229,0.1437,0.0494,34.3585%,38.3156,669006,17.5000,670.5207
ELM fixed (only fit is misspredicted),int,sample_int_trace,1.3341646194458008,Pass,12.585126638412476,997301,1257229,0.7933,128874,59682,0.1025,0.0475,46.3103%,59.8435,1085471,18.1876,1088.4086,997301,1257229,0.7933,128874,59682,0.1025,0.0475,46.3103%,59.8435,1085471,18.1876,1088.4086
ELM increase input nodes,fp,sample_fp_trace,1.1786184310913086,Pass,18.63817858695984,997741,1016292,0.9817,111265,56033,0.1095,0.0551,50.3600%,56.1599,914882,16.3276,916.9534,997741,1016292,0.9817,111265,56033,0.1095,0.0551,50.3600%,56.1599,914882,16.3276,916.9534
ELM increase input nodes,int,sample_int_trace,1.3341646194458008,Pass,19.671298027038574,997301,1301933,0.7660,128874,62282,0.0990,0.0478,48.3278%,62.4506,1123699,18.0421,1126.7401,997301,1301933,0.7660,128874,62282,0.0990,0.0478,48.3278%,62.4506,1123699,18.0421,1126.7401
"ELM (samples=128, input=128, hidden=32)",fp,sample_fp_trace,1.1786184310913086,Pass,30.70123028755188,997741,892316,1.1181,111265,46569,0.1247,0.0522,41.8541%,46.6744,788324,16.9281,790.1089,997741,892316,1.1181,111265,46569,0.1247,0.0522,41.8541%,46.6744,788324,16.9281,790.1089
"ELM (samples=128, input=128, hidden=32)",int,sample_int_trace,1.3341646194458008,Pass,37.129560708999634,997301,1251779,0.7967,128874,59099,0.1030,0.0472,45.8580%,59.2589,1074278,18.1776,1077.1853,997301,1251779,0.7967,128874,59099,0.1030,0.0472,45.8580%,59.2589,1074278,18.1776,1077.1853
"ELM (samples=64, input=128, hidden=16)",fp,sample_fp_trace,1.1786184310913086,Pass,11.663977146148682,997741,955458,1.0443,111265,52008,0.1165,0.0544,46.7425%,52.1258,853883,16.4183,855.8163,997741,955458,1.0443,111265,52008,0.1165,0.0544,46.7425%,52.1258,853883,16.4183,855.8163
"ELM (samples=64, input=128, hidden=16)",int,sample_int_trace,1.3341646194458008,Pass,12.348876476287842,997301,1277577,0.7806,128874,60780,0.1009,0.0476,47.1623%,60.9445,1100666,18.1090,1103.6447,997301,1277577,0.7806,128874,60780,0.1009,0.0476,47.1623%,60.9445,1100666,18.1090,1103.6447
"ELM (samples=64, input=128, hidden=16, activation=fourier)",fp,sample_fp_trace,1.1786184310913086,Pass,10.07034158706665,997741,825702,1.2084,111265,40686,0.1348,0.0493,36.5668%,40.7781,726015,17.8443,727.6588,997741,825702,1.2084,111265,40686,0.1348,0.0493,36.5668%,40.7781,726015,17.8443,727.6588
"ELM (samples=64, input=128, hidden=16, activation=fourier)",int,sample_int_trace,1.3341646194458008,Pass,12.929913997650146,997301,1398519,0.7131,128874,67974,0.0922,0.0486,52.7445%,68.1580,1252093,18.4202,1255.4815,997301,1398519,0.7131,128874,67974,0.0922,0.0486,52.7445%,68.1580,1252093,18.4202,1255.4815
